0,0,,,,
1,488.4137821,,,code,15
2,685.0498993,,,chord length,500
3,833.5942045,,,,
4,957.1944767,,,,
5,1064.817123,,,,
6,1161.060909,,,,
7,1248.657914,,,,
8,1329.388415,,,,
9,1404.489148,,,,
10,1474.860706,,,,
11,1541.183087,,,,
12,1603.984692,,,,
13,1663.685827,,,,
14,1720.62737,,,,
15,1775.090339,,,,
16,1827.309664,,,,
17,1877.484145,,,,
18,1925.783792,,,,
19,1972.355358,,,,
20,2017.326576,,,,
21,2060.809449,,,,
22,2102.902844,,,,
23,2143.694565,,,,
24,2183.263014,,,,
25,2221.678552,,,,
26,2259.004615,,,,
27,2295.298638,,,,
28,2330.612825,,,,
29,2364.994797,,,,
30,2398.488143,,,,
31,2431.132885,,,,
32,2462.965876,,,,
33,2494.021149,,,,
34,2524.330206,,,,
35,2553.922287,,,,
36,2582.824583,,,,
37,2611.062443,,,,
38,2638.659544,,,,
39,2665.638041,,,,
40,2692.018706,,,,
41,2717.821049,,,,
42,2743.06342,,,,
43,2767.763112,,,,
44,2791.936441,,,,
45,2815.598823,,,,
46,2838.764849,,,,
47,2861.448342,,,,
48,2883.662416,,,,
49,2905.419525,,,,
50,2926.731515,,,,
51,2947.60966,,,,
52,2968.064707,,,,
53,2988.106905,,,,
54,3007.746043,,,,
55,3026.991477,,,,
56,3045.852156,,,,
57,3064.336652,,,,
58,3082.453177,,,,
59,3100.20961,,,,
60,3117.613512,,,,
61,3134.672148,,,,
62,3151.392501,,,,
63,3167.78129,,,,
64,3183.844984,,,,
65,3199.589815,,,,
66,3215.021788,,,,
67,3230.1467,,,,
68,3244.970144,,,,
69,3259.497521,,,,
70,3273.734054,,,,
71,3287.68479,,,,
72,3301.354612,,,,
73,3314.748249,,,,
74,3327.870278,,,,
75,3340.725138,,,,
76,3353.317128,,,,
77,3365.650421,,,,
78,3377.729065,,,,
79,3389.556991,,,,
80,3401.138016,,,,
81,3412.47585,,,,
82,3423.574098,,,,
83,3434.436268,,,,
84,3445.065771,,,,
85,3455.465929,,,,
86,3465.639975,,,,
87,3475.591058,,,,
88,3485.322247,,,,
89,3494.836534,,,,
90,3504.136836,,,,
91,3513.225997,,,,
92,3522.106794,,,,
93,3530.781937,,,,
94,3539.254072,,,,
95,3547.525782,,,,
96,3555.599593,,,,
97,3563.477971,,,,
98,3571.163329,,,,
99,3578.658026,,,,
100,3585.964369,,,,
101,3593.084614,,,,
102,3600.020972,,,,
103,3606.775604,,,,
104,3613.350628,,,,
105,3619.748118,,,,
106,3625.970105,,,,
107,3632.018582,,,,
108,3637.895498,,,,
109,3643.602768,,,,
110,3649.142268,,,,
111,3654.515836,,,,
